Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
Ford Motor Company,1999,22324,2,3,High
"Volkswagen Group of America, Inc.",1999,51900,2,3,High
"FLEETWOOD ENTERPRISES, INC.",1999,1049,0,2,Medium
FMC CORPORATION,1975,97,0,2,Medium
Ford Motor Company,1999,280481,2,3,High
"THOMAS BUILT BUSES, INC.",1999,106,1,1,Low
"Chrysler (FCA US, LLC)",1999,1318189,2,3,High
"Jayco, Inc.",1999,152,1,1,Low
"Volvo Car USA, LLC",1999,139588,2,3,High
"Volvo Car USA, LLC",1999,124381,2,3,High
Volvo Trucks North America,1999,166,1,1,Low
"General Motors, LLC",1999,988,0,2,Medium
"General Motors, LLC",1999,69,1,1,Low
Land Rover,1999,11583,2,3,High
"Winnebago Industries, Inc.",1975,197,0,2,Medium
Blue Bird Body Company,1999,101,1,1,Low
NATIONAL R.V. INC.,1999,266,1,1,Low
Honda (American Honda Motor Co.),1999,96518,2,3,High
Volvo Trucks North America,1999,352,1,1,Low
Ford Motor Company,1999,10011,2,3,High
"VAN-CON, INCORPORATED",1999,850,1,1,Low
FREIGHTLINER LLC,1999,224,1,1,Low
"GEORGIE BOY MFG., LLC",1999,146,1,1,Low
FREIGHTLINER LLC,1999,1182,0,2,Medium
Mazda North American Operations,1999,47651,2,3,High
"COACHMEN INDUSTRIES, INC.",1999,51,1,1,Low
"Chrysler (FCA US, LLC)",1975,2619,0,2,Medium
Ford Motor Company,1999,245300,2,3,High
"Volkswagen Group of America, Inc.",1999,52,1,1,Low
"NABI Bus, LLC",1999,217,1,1,Low
"General Motors, LLC",1999,6584,2,3,High
"General Motors, LLC",1999,3947,2,3,High
"PAN-WIT, INC.",1999,450,1,1,Low
Great Dane Trailers,1999,4639,2,3,High
"Chrysler (FCA US, LLC)",1999,49066,2,3,High
"Chrysler (FCA US, LLC)",1999,402830,2,3,High
"Chrysler (FCA US, LLC)",1999,635469,2,3,High
"Chrysler (FCA US, LLC)",1999,227283,2,3,High
"Nissan North America, Inc.",1999,1600,2,3,High
LANDAU MOTOR HOME,1975,27,0,2,Medium
Blue Bird Body Company,1975,1204,0,2,Medium
"General Motors, LLC",1999,1300,0,2,Medium
"General Motors, LLC",1999,1395,0,2,Medium
Hyundai Motor America,1999,649,0,2,Medium
Harley-Davidson Motor Company,1999,10241,2,3,High
Harley-Davidson Motor Company,1999,316,1,1,Low
Damon Corporation,1999,1767,0,2,Medium
"CHANCE COACH, INC.",1999,195,1,1,Low
Ford Motor Company,1999,159565,2,3,High
IC CORPORATION,1999,91,1,1,Low
"General Motors, LLC",1999,1125749,2,3,High
"General Motors, LLC",1999,2400000,2,3,High
"Chrysler (FCA US, LLC)",1999,828559,2,3,High
"Chrysler (FCA US, LLC)",1999,8378,2,3,High
WHITE MOTOR CORPORATION,1975,1346,0,2,Medium
Mazda North American Operations,1999,13030,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1999,80,1,1,Low
"BEALL TRAILERS OF MONTANA, INC",1999,15,1,1,Low
"Yamaha Motor Corporation, USA",1999,6373,2,3,High
"General Motors, LLC",1999,168559,2,3,High
PACCAR Incorporated,1999,272,1,1,Low
LEISURE TRAVEL VANS,1999,211,1,1,Low
Mazda North American Operations,1999,5600,2,3,High
Hyundai Motor America,1999,11530,2,3,High
DEMPSTER INDUSTRIES INC.,1999,57,1,1,Low
FREIGHTLINER LLC,1999,204,1,1,Low
"THOMAS BUILT BUSES, INC.",1999,2175,2,3,High
"THOMAS BUILT BUSES, INC.",1999,274,1,1,Low
"THOMAS BUILT BUSES, INC.",1999,744,0,2,Medium
WHITE MOTOR CORPORATION,1975,15,0,2,Medium
WHITE MOTOR CORPORATION,1975,62,0,2,Medium
"THOMAS BUILT BUSES, INC.",1999,1307,0,2,Medium
"THOMAS BUILT BUSES, INC.",1999,1123,0,2,Medium
Damon Corporation,1999,49,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",1999,388,1,1,Low
NOVA BUS INCORPORATED,1999,350,1,1,Low
"Winnebago Industries, Inc.",1999,438,1,1,Low
"Ferrari North America, Inc.",1999,118,1,1,Low
"Ferrari North America, Inc.",1999,268,1,1,Low
"Ferrari North America, Inc.",1999,248,1,1,Low
Blue Bird Body Company,1999,204,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",1999,17,1,1,Low
Ford Motor Company,1999,854288,2,3,High
FMC CORPORATION,1975,44,0,2,Medium
"Suzuki Motor USA, LLC",1999,1273,0,2,Medium
Honda (American Honda Motor Co.),1999,31097,2,3,High
Honda (American Honda Motor Co.),1999,6714,2,3,High
Honda (American Honda Motor Co.),1999,19830,2,3,High
OTTAWA TRUCK CORPORATION,1999,842,1,1,Low
Volvo Trucks North America,1999,162,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",1999,417,1,1,Low
"Entrans International, LLC",1999,221,1,1,Low
RELIANCE TRAILER COMPANY,1999,26,1,1,Low
Glendale Recreational Vehicles,1999,239,1,1,Low
Blue Bird Body Company,1999,41260,2,3,High
GRUMMAN FLXIBLE CORP.,1975,310,0,2,Medium
FREIGHTLINER LLC,1999,560,1,1,Low
FREIGHTLINER LLC,1999,32,1,1,Low
"General Motors, LLC",1999,187459,2,3,High
"Rolls-Royce Motor Cars, Ltd.",1999,639,0,2,Medium
"FLEETWOOD ENTERPRISES, INC.",1999,145,1,1,Low
BUELL-out of business,1999,1177,0,2,Medium
"Jaguar Cars, Ltd.",1999,189,1,1,Low
Ford Motor Company,1999,15900,2,3,High
Ducati North America,1999,800,0,2,Medium
DAEWOO MOTOR GUAM,1999,124,1,1,Low
PACCAR Incorporated,1999,13,1,1,Low
Damon Corporation,1999,52,1,1,Low
BUELL-out of business,1999,1765,2,3,High
BUELL-out of business,1999,1765,2,3,High
"Mack Trucks, Inc.",1975,3400,0,2,Medium
"Volkswagen Group of America, Inc.",1999,88121,2,3,High
"Nissan North America, Inc.",1999,17000,2,3,High
"General Motors, LLC",1999,59381,2,3,High
"Suzuki Motor USA, LLC",1999,7828,2,3,High
MITSUBISHI CARIBBEAN,1999,3789,2,3,High
Ford Motor Company,1999,262695,2,3,High
Toyota Motor Corporation,1999,2737,2,3,High
"General Motors, LLC",1999,282,1,1,Low
Ford Motor Company,1999,15681,2,3,High
Blue Bird Body Company,1999,26,1,1,Low
"Stoughton Trailers, LLC",1999,13,1,1,Low
Shyft Group,1999,1753,2,3,High
Honda (American Honda Motor Co.),1999,124875,2,3,High
Volvo Trucks North America,1999,285,1,1,Low
DAEWOO MOTOR DE PUERTO RICO,1999,9794,2,3,High
Isuzu Motors Limited,1999,104,1,1,Low
BUELL-out of business,1999,10556,2,3,High
BUELL-out of business,1999,12321,2,3,High
BUELL-out of business,1999,8950,2,3,High
BUELL-out of business,1999,8950,2,3,High
"SAAB CARS USA, INC.",1999,26116,2,3,High
FREIGHTLINER LLC,1999,1166,0,2,Medium
"Chrysler (FCA US, LLC)",1999,736824,2,3,High
"Chrysler (FCA US, LLC)",1999,744,0,2,Medium
"Chrysler (FCA US, LLC)",1999,8883,2,3,High
"Chrysler (FCA US, LLC)",1999,1635,2,3,High
"Chrysler (FCA US, LLC)",1999,1989,2,3,High
"WESTERN STAR TRUCKS, INC.",1999,1,1,1,Low
"Chrysler (FCA US, LLC)",1999,175000,2,3,High
Ford Motor Company,1999,605581,2,3,High
FREIGHTLINER LLC,1999,36,1,1,Low
"FTCA, Inc.",1999,630,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1999,4553,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1975,8500,0,2,Medium
"Mack Trucks, Inc.",1975,1200,0,2,Medium
"BMW of North America, LLC",1999,31067,2,3,High
BUELL-out of business,1999,3878,2,3,High
BUELL-out of business,1999,1765,2,3,High
BUELL-out of business,1999,10255,2,3,High
HART TRAILERS,1999,133,1,1,Low
Ford Motor Company,1999,53784,2,3,High
MITSUBISHI CARIBBEAN,1999,5,1,1,Low
Ford Motor Company,1999,10951,2,3,High
DAEWOO MOTOR AMERICA,1999,2929,2,3,High
"PREVOST CAR, INC. Inactive",1999,116,1,1,Low
Ford Motor Company,1999,293650,2,3,High
FREIGHTLINER LLC,1999,285,1,1,Low
Ford Motor Company,1999,102700,2,3,High
BUELL-out of business,1999,5208,2,3,High
"POLARIS INDUSTRIES, INC.",1999,278,1,1,Low
"General Motors, LLC",1999,99333,2,3,High
PACCAR Incorporated,1999,3405,2,3,High
FREIGHTLINER LLC,1999,1935,2,3,High
"Champion Bus, Inc.",1999,18,1,1,Low
"Jayco, Inc.",1999,259,1,1,Low
"Triumph Motorcycles America, Ltd.",1999,1198,0,2,Medium
"PREVOST CAR, INC. Inactive",1999,81,1,1,Low
"General Motors, LLC",1999,38,1,1,Low
"NEW FLYER OF AMERICA, INC.",1999,529,1,1,Low
Volvo Trucks North America,1999,382,1,1,Low
"WORLD TRANS, INC.",1999,81,1,1,Low
"General Motors, LLC",1999,29766,2,3,High
"General Motors, LLC",1999,59,1,1,Low
"General Motors, LLC",1999,352,1,1,Low
FREIGHTLINER LLC,1999,139,1,1,Low
"THOMAS BUILT BUSES, INC.",1999,4249,2,3,High
"COACHMEN INDUSTRIES, INC.",1999,3073,2,3,High
FREIGHTLINER LLC,1999,503,1,1,Low
"MAXIM TRUCK COMPANY, INC.",1999,16,1,1,Low
PACCAR Incorporated,1999,493,1,1,Low
"Kawasaki Motors Corp., U.S.A.",1999,2779,2,3,High
"Mack Trucks, Inc.",1975,2250,0,2,Medium
"Chrysler (FCA US, LLC)",1975,6037,0,2,Medium
"GEORGIE BOY MFG., LLC",1999,490,1,1,Low
Capacity of Texas,1999,70,1,1,Low
"Mitsubishi Motors North America, Inc.",1999,307000,2,3,High
"Mitsubishi Motors North America, Inc.",1999,1731,2,3,High
"Chrysler (FCA US, LLC)",1999,165857,2,3,High
"SAFARI MOTOR COACHES, INC.",1999,413,1,1,Low
Mazda North American Operations,1999,22000,2,3,High
Ford Motor Company,1999,2012,2,3,High
Ford Motor Company,1999,898739,2,3,High
Shyft Group,1999,30,1,1,Low
FREIGHTLINER LLC,1999,142,1,1,Low
"BMW of North America, LLC",1999,34701,2,3,High
"Nissan North America, Inc.",1999,1600,2,3,High
"General Motors, LLC",1999,75,1,1,Low
AM GENERAL LLC,1999,186,1,1,Low
IC CORPORATION,1999,7738,2,3,High
"Volkswagen Group of America, Inc.",1999,27964,2,3,High
Ford Motor Company,1999,4569,2,3,High
Volvo Trucks North America,1999,63,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1999,1547,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1999,4024,2,3,High
Ford Motor Company,1999,2893,2,3,High
Ford Motor Company,1999,1687,2,3,High
"Timpte, Inc.",1999,49,1,1,Low
"General Motors, LLC",1999,138691,2,3,High
TEXTRON,1999,2309,0,2,Medium
"Chrysler (FCA US, LLC)",1999,488,0,2,Medium
"Chrysler (FCA US, LLC)",1999,45,1,1,Low
Ducati North America,1999,560,1,1,Low
Ducati North America,1999,793,0,2,Medium
Ducati North America,1999,97,1,1,Low
"Mitsubishi Motors North America, Inc.",1999,10000,2,3,High
"Subaru of America, Inc.",1999,221987,2,3,High
Shyft Group,1999,133,1,1,Low
AM GENERAL LLC,1975,153,0,2,Medium
FREIGHTLINER LLC,1975,23,0,2,Medium
Ford Motor Company,1999,32240,2,3,High
"Volvo Car USA, LLC",1999,3632,2,3,High
NEOPLAN USA CORPORATION,1999,238,1,1,Low
"Chrysler (FCA US, LLC)",1999,45,1,1,Low
Motor Coach Industries,1999,19600,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1999,40091,2,3,High
"POLARIS INDUSTRIES, INC.",1999,715,0,2,Medium
"Foretravel, Inc.",1999,26,1,1,Low
"Mercedes-Benz USA, LLC",1999,2600,2,3,High
Blue Bird Body Company,1999,2261,2,3,High
"Suzuki Motor USA, LLC",1999,38,1,1,Low
Ford Motor Company,1999,23097,2,3,High
Ford Motor Company,1999,762201,2,3,High
FREIGHTLINER LLC,1999,1770,2,3,High
"Volkswagen Group of America, Inc.",1999,36258,2,3,High
"Chrysler (FCA US, LLC)",1999,250845,2,3,High
"Chrysler (FCA US, LLC)",1999,79366,2,3,High
"Chrysler (FCA US, LLC)",1975,74,0,2,Medium
"General Motors, LLC",1999,988587,2,3,High
Blue Bird Body Company,1999,829,0,2,Medium
UD Trucks Corporation,1999,34,1,1,Low
Motor Coach Industries,1999,1,1,1,Low
"Triumph Motorcycles America, Ltd.",1999,212,1,1,Low
Blue Bird Body Company,1999,15,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",1999,95,1,1,Low
"Mack Trucks, Inc.",1999,8025,2,3,High
"STRAIGHTLINE MANUF., INC.",1999,256,1,1,Low
"General Motors, LLC",1999,2090,2,3,High
Shyft Group,1999,3210,2,3,High
ITASCA MOTORHOME,1975,171,0,2,Medium
"ROVER GROUP, LIMITED",1999,20426,2,3,High
Shyft Group,1999,542,1,1,Low
Harley-Davidson Motor Company,1999,14211,2,3,High
"Chrysler (FCA US, LLC)",1999,3683,2,3,High
"Chrysler (FCA US, LLC)",1999,46193,2,3,High
"BMW of North America, LLC",1999,1615,2,3,High
"BMW of North America, LLC",1999,249,1,1,Low
LES ENTREPRISES M.CORBEIL,1998,1545,0,2,Medium
"Volkswagen Group of America, Inc.",1998,37200,2,3,High
Collins Bus Corporation,1998,11,1,1,Low
"General Motors, LLC",1998,12,1,1,Low
Daimler Commercial Buses NA,1998,20,1,1,Low
Ford Motor Company,1998,175000,2,3,High
Ford Motor Company,1998,2697000,2,3,High
DAEWOO MOTOR DE PUERTO RICO,1998,1077,0,2,Medium
"General Motors, LLC",1998,27083,2,3,High
"General Motors, LLC",1998,217,1,1,Low
"General Motors, LLC",1998,1158,0,2,Medium
Blue Bird Body Company,1998,2740,2,3,High
MITSUBISHI CARIBBEAN,1998,6979,2,3,High
MITSUBISHI CARIBBEAN,1998,3978,2,3,High
Newmar Corporation,1998,61,1,1,Low
"Nissan North America, Inc.",1998,22000,2,3,High
Newell Coach Corp.,1998,60,1,1,Low
MITSUBISHI CARIBBEAN,1998,53162,2,3,High
Honda (American Honda Motor Co.),1998,226,1,1,Low
"General Motors, LLC",1998,64199,2,3,High
"THOMAS BUILT BUSES, INC.",1998,500,0,2,Medium
"GEORGIE BOY MFG., LLC",1998,100,1,1,Low
Ford Motor Company,1998,305,0,2,Medium
Ford Motor Company,1998,11,1,1,Low
Ford Motor Company,1998,19187,2,3,High
IC CORPORATION,1998,37656,2,3,High
"POLARIS INDUSTRIES, INC.",1998,266,1,1,Low
Ford Motor Company,1998,20,1,1,Low
DAEWOO MOTOR AMERICA,1998,1063,0,2,Medium
Eldorado National-Kansas,1975,173,0,2,Medium
NEOPLAN USA CORPORATION,1998,594,0,2,Medium
Ford Motor Company,1998,4000,2,3,High
Volvo Trucks North America,1998,25,1,1,Low
NEOPLAN USA CORPORATION,1998,25,1,1,Low
"VAN-CON, INCORPORATED",1998,37,1,1,Low
"Volkswagen Group of America, Inc.",1998,6217,2,3,High
"BMW of North America, LLC",1998,700,0,2,Medium
"Suzuki Motor USA, LLC",1998,6087,2,3,High
"Chrysler (FCA US, LLC)",1975,450,0,2,Medium
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,16231,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,5487,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,22032,2,3,High
Collins Bus Corporation,1998,67,1,1,Low
Damon Corporation,1998,292,1,1,Low
Shyft Group,1998,203,1,1,Low
Shyft Group,1998,39,1,1,Low
FREIGHTLINER LLC,1998,441,0,2,Medium
FREIGHTLINER LLC,1998,348,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",1998,31,1,1,Low
"Gulf Stream Coach, Inc.",1998,322,1,1,Low
"Nissan North America, Inc.",1998,28970,2,3,High
"Chrysler (FCA US, LLC)",1975,2000,0,2,Medium
"Gulf States Toyota, Inc.",1998,7794,2,3,High
"BMW of North America, LLC",1998,1000,0,2,Medium
Ford Motor Company,1998,5700,2,3,High
"Gulf States Toyota, Inc.",1998,1519,0,2,Medium
Shyft Group,1998,53,1,1,Low
MOTO AMERICA INC.,1998,595,0,2,Medium
MOTO AMERICA INC.,1998,390,1,1,Low
"NABI Bus, LLC",1998,196,1,1,Low
Ford Motor Company,1998,2500,2,3,High
"Jaguar Cars, Ltd.",1998,1457,0,2,Medium
Harley-Davidson Motor Company,1998,232,1,1,Low
"Erwin Hymer Group North America, Inc.",1998,404,1,1,Low
Isuzu Motors Limited,1998,9377,2,3,High
"CARPENTER INDUSTRIES, INC.",1998,35,1,1,Low
"FTCA, Inc.",1998,8602,2,3,High
"Kawasaki Motors Corp., U.S.A.",1998,104,1,1,Low
Toyota Motor Corporation,1998,1960,2,3,High
"Volvo Car USA, LLC",1998,50835,2,3,High
Volvo Trucks North America,1998,95013,2,3,High
"Mercedes-Benz USA, LLC",1998,4163,2,3,High
"Nissan North America, Inc.",1975,20187,0,2,Medium
"General Motors, LLC",1975,18676,0,2,Medium
Ford Motor Company,1998,350,0,2,Medium
"BMW of North America, LLC",1998,1000,0,2,Medium
"POLARIS INDUSTRIES, INC.",1998,266,1,1,Low
"Ferrari North America, Inc.",1998,556,0,2,Medium
"CHANCE COACH, INC.",1998,38,1,1,Low
Mazda North American Operations,1998,213000,2,3,High
IC CORPORATION,1998,1878,0,2,Medium
Shyft Group,1998,1237,0,2,Medium
Shyft Group,1998,169,1,1,Low
"Suzuki Motor USA, LLC",1998,1198,0,2,Medium
"PREVOST CAR, INC. Inactive",1998,259,1,1,Low
"General Motors, LLC",1998,8367,2,3,High
Hyundai Motor America,1998,64967,2,3,High
"Chrysler (FCA US, LLC)",1998,6198,2,3,High
"General Motors, LLC",1998,2732,2,3,High
"REV Ambulance Group Orlando, Inc.",1998,5,1,1,Low
Mazda North American Operations,1998,73000,2,3,High
Skyline Corporation,1998,1143,0,2,Medium
ATHEY PRODUCTS CORP.,1998,500,1,1,Low
"COACHMEN INDUSTRIES, INC.",1998,215,1,1,Low
STARCRAFT COMPANY,1991,1801,0,2,Medium
"Yamaha Motor Corporation, USA",1998,1770,0,2,Medium
"General Motors, LLC",1998,3969,2,3,High
"CARPENTER INDUSTRIES, INC.",1998,3255,0,2,Medium
"General Motors, LLC",1998,3116,2,3,High
Ford Motor Company,1998,4,1,1,Low
Honda (American Honda Motor Co.),1998,967771,2,3,High
Newell Coach Corp.,1998,12,1,1,Low
MITSUBISHI CARIBBEAN,1998,6609,2,3,High
Daimler Commercial Buses NA,1998,723,0,2,Medium
"General Motors, LLC",1998,13684,2,3,High
Harley-Davidson Motor Company,1975,24311,0,2,Medium
"General Motors, LLC",1998,32903,2,3,High
MONACO COACH CORPORATION,1998,398,0,2,Medium
Ford Motor Company,1998,175000,2,3,High
Newmar Corporation,1998,18,1,1,Low
HOLIDAY RAMBLER CORP.,1998,384,0,2,Medium
"Jayco, Inc.",1998,993,0,2,Medium
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,1809,0,2,Medium
"THOMAS BUILT BUSES, INC.",1998,4300,2,3,High
Daimler Commercial Buses NA,1998,1068,0,2,Medium
"Kia America, Inc.",1998,39656,2,3,High
Keystone RV Company,1998,451,0,2,Medium
"Featherlite Trailer Manufacturing, LLC",1998,80,1,1,Low
"Carriage, Inc.",1975,26,0,2,Medium
GRUMMAN FLXIBLE CORP.,1975,2293,0,2,Medium
"Ferrari North America, Inc.",1998,81,1,1,Low
ANGOLA COACH,1998,24,1,1,Low
"Mitsubishi Motors North America, Inc.",1998,61800,2,3,High
Mazda North American Operations,1998,40000,2,3,High
"Chrysler (FCA US, LLC)",1998,25014,2,3,High
"Chrysler (FCA US, LLC)",1998,12400,2,3,High
"Chrysler (FCA US, LLC)",1998,30747,2,3,High
"FLEETWOOD ENTERPRISES, INC.",1998,107,1,1,Low
"Mitsubishi Motors North America, Inc.",1998,17079,2,3,High
GRUMMAN CORP.,1998,22,1,1,Low
"POLARIS INDUSTRIES, INC.",1998,61,1,1,Low
"POLARIS INDUSTRIES, INC.",1998,61,1,1,Low
"POLARIS INDUSTRIES, INC.",1998,61,1,1,Low
"POLARIS INDUSTRIES, INC.",1998,52,1,1,Low
"Mitsubishi Motors North America, Inc.",1998,60243,2,3,High
Ford Motor Company,1998,330,0,2,Medium
Ford Motor Company,1998,6000,2,3,High
"Sundowner Trailers, Inc.",1998,10000,2,3,High
Newell Coach Corp.,1998,119,1,1,Low
"Marathon Coach, Inc.",1998,7,1,1,Low
"Strick Trailers, LLC",1998,45,1,1,Low
IC CORPORATION,1998,8083,2,3,High
"COACHMEN INDUSTRIES, INC.",1998,2000,2,3,High
Ford Motor Company,1998,7000,2,3,High
BUELL-out of business,1998,136,1,1,Low
Ford Motor Company,1998,1500,0,2,Medium
OTTAWA TRUCK CORPORATION,1998,2040,0,2,Medium
Ford Motor Company,1998,1700,0,2,Medium
Eldorado National-Kansas,1998,35,1,1,Low
"Volkswagen Group of America, Inc.",1998,153000,2,3,High
Ford Motor Company,1998,72940,2,3,High
"Nissan North America, Inc.",1998,62370,2,3,High
"FLEETWOOD ENTERPRISES, INC.",1998,735,0,2,Medium
Ford Motor Company,1998,140000,2,3,High
"MARQUE, INC.",1998,125,1,1,Low
PACCAR Incorporated,1991,515,0,2,Medium
"General Motors, LLC",1998,55272,2,3,High
Daimler Commercial Buses NA,1998,45,1,1,Low
redundant TRAIL KING,1998,98,1,1,Low
BOYDSTUN,1998,24,1,1,Low
"Chrysler (FCA US, LLC)",1998,8144,2,3,High
"Chrysler (FCA US, LLC)",1998,685000,2,3,High
"Chrysler (FCA US, LLC)",1998,722600,2,3,High
"Chrysler (FCA US, LLC)",1998,157000,2,3,High
Toyota Motor Corporation,1998,84323,2,3,High
"Talbert Manufacturing, Inc.",1998,530,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,1463,0,2,Medium
"General Motors, LLC",1998,354,0,2,Medium
"BMW of North America, LLC",1998,340000,2,3,High
"Mack Trucks, Inc.",1998,62,1,1,Low
Isuzu Motors Limited,1998,3062,2,3,High
Daimler Commercial Buses NA,1998,52,1,1,Low
Blue Bird Body Company,1998,772,0,2,Medium
"PREVOST CAR, INC. Inactive",1998,1814,0,2,Medium
Shyft Group,1998,441,0,2,Medium
Shyft Group,1998,522,0,2,Medium
Ford Motor Company,1998,174000,2,3,High
"General Motors, LLC",1998,607,0,2,Medium
Ford Motor Company,1975,1000,0,2,Medium
"FIAT MOTORS OF N.A., INC.",1975,25000,0,2,Medium
Isuzu Motors Limited,1998,55475,2,3,High
Honda (American Honda Motor Co.),1998,16838,2,3,High
Oshkosh Corporation,1998,449,0,2,Medium
"WALKER STNLS.EQUIP.CO,INC",1998,870,0,2,Medium
"Mitsubishi Motors North America, Inc.",1998,9560,2,3,High
Blue Bird Body Company,1998,379,1,1,Low
Utility Trailer Manufacturing Company,1998,28,1,1,Low
Trailmobile Canada Limited,1998,8,1,1,Low
Transcraft Corporation,1998,357,1,1,Low
TIARA MOTOR COACH DIVISION,1998,153,1,1,Low
"AUSTIN ROVER CARS NA, INC",1975,14000,0,2,Medium
Lamborghini (Automobili Lamborghini),1998,63,1,1,Low
Daimler Commercial Buses NA,1998,31,1,1,Low
"Foretravel, Inc.",1998,177,1,1,Low
E-One Incorporated,1998,62,1,1,Low
Shyft Group,1998,25,1,1,Low
"Volkswagen Group of America, Inc.",1998,238000,2,3,High
Fontaine Trailer Company,1998,50,1,1,Low
Ford Motor Company,1998,202000,2,3,High
Nelson Manufacturing Company,1998,37,1,1,Low
Harley-Davidson Motor Company,1998,55013,2,3,High
Ducati North America,1998,300,1,1,Low
Toyota Motor Corporation,1998,104928,2,3,High
Isuzu Motors Limited,1998,90,1,1,Low
Blue Bird Body Company,1998,1896,0,2,Medium
"ROVER GROUP, LIMITED",1998,22870,2,3,High
"General Motors, LLC",1998,1557585,2,3,High
Isuzu Motors Limited,1998,8925,2,3,High
"General Motors, LLC",1998,675302,2,3,High
"General Motors, LLC",1998,1059,0,2,Medium
"General Motors, LLC",1998,125990,2,3,High
"FLEETWOOD ENTERPRISES, INC.",1998,895,0,2,Medium
"Suzuki Motor USA, LLC",1998,17007,2,3,High
Ford Motor Company,1998,281000,2,3,High
"NEW FLYER OF AMERICA, INC.",1998,30,1,1,Low
"NEW FLYER OF AMERICA, INC.",1998,163,1,1,Low
"NEW FLYER OF AMERICA, INC.",1998,98,1,1,Low
"SAAB CARS USA, INC.",1998,39313,2,3,High
"Jayco, Inc.",1998,208,1,1,Low
"Volkswagen Group of America, Inc.",1998,19800,2,3,High
Lotus Cars Limited,1998,160,1,1,Low
"BMW of North America, LLC",1998,1100,0,2,Medium
"BMW of North America, LLC",1998,3800,2,3,High
"Erwin Hymer Group North America, Inc.",1998,404,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,3041,2,3,High
"Ferrari North America, Inc.",1998,235,1,1,Low
"Chrysler (FCA US, LLC)",1998,84600,2,3,High
PACCAR Incorporated,1998,9500,2,3,High
"General Motors, LLC",1998,38540,2,3,High
MITSUBISHI CARIBBEAN,1998,6,1,1,Low
SUNLINE COACH COMPANY,1998,276,1,1,Low
"Trailers by Dorsey, Inc.",1998,1534,0,2,Medium
"Subaru of America, Inc.",1998,20306,2,3,High
IC CORPORATION,1998,253,1,1,Low
"Strick Trailers, LLC",1998,30,1,1,Low
Ford Motor Company,1998,90000,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,16012,2,3,High
Collins Bus Corporation,1998,432,0,2,Medium
"Strick Trailers, LLC",1998,334,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1998,1309,0,2,Medium
Isuzu Motors Limited,1998,3044,2,3,High
"General Motors, LLC",1998,102627,2,3,High
FREIGHTLINER LLC,1998,45,1,1,Low
Blue Bird Body Company,1998,385,0,2,Medium
"General Motors, LLC",1998,149342,2,3,High
Ford Motor Company,1998,11200,2,3,High
IC CORPORATION,1998,13422,2,3,High
"Chrysler (FCA US, LLC)",1998,457,0,2,Medium
"Chrysler (FCA US, LLC)",1998,4200,2,3,High
MITSUBISHI CARIBBEAN,1998,100,1,1,Low
Ford Motor Company,1998,1520000,2,3,High
"Volkswagen Group of America, Inc.",1998,8500,2,3,High
RED RIVER MANUFACTURING,1998,121,1,1,Low
NATIONAL R.V. INC.,1996,1250,0,2,Medium
Blue Bird Body Company,1998,433,0,2,Medium
Motor Coach Industries,1998,547,0,2,Medium
Ford Motor Company,1998,281000,2,3,High
MOTO AMERICA INC.,1998,205,1,1,Low
"Nissan North America, Inc.",1998,512387,2,3,High
"Mercedes-Benz USA, LLC",1998,42,1,1,Low
"Subaru of America, Inc.",1998,29442,2,3,High
Volvo Trucks North America,1998,2329,2,3,High
"Suzuki Motor USA, LLC",1998,4103,2,3,High
AMERICAN TRAVEL SYSTEMS,1998,20,1,1,Low
Shyft Group,1998,477,0,2,Medium
"Charles Machine Works, Inc.",1998,820,0,2,Medium
Ford Motor Company,1998,26,1,1,Low
"Winnebago Industries, Inc.",1998,2830,2,3,High
MORGAN TRUCK BODY,1998,62,1,1,Low
"FLEETWOOD ENTERPRISES, INC.",1998,685,0,2,Medium
FREIGHTLINER LLC,1998,22186,2,3,High
Toyota Motor Corporation,1998,14855,2,3,High
Daimler Commercial Buses NA,1998,20,1,1,Low
MOTO AMERICA INC.,1998,289,1,1,Low
Shyft Group,1998,47,1,1,Low
HOLIDAY RAMBLER CORP.,1998,47,1,1,Low
"General Motors, LLC",1998,1590,0,2,Medium
"Chrysler (FCA US, LLC)",1998,1550,0,2,Medium
